Horizonte,Activo,Modelo,Regimen_Real,Regimen_Predicho,Conteo
Regimen prediccion 21,AMZN,SVM,Medio,Medio,120
Regimen prediccion 21,AMZN,SVM,Medio,Alto,83
Regimen prediccion 21,AMZN,SVM,Alto,Bajo,8
Regimen prediccion 21,AMZN,SVM,Alto,Medio,190
Regimen prediccion 21,AMZN,SVM,Alto,Alto,289
Regimen prediccion 21,GOOGL,Persistencia,Bajo,Bajo,3
Regimen prediccion 21,GOOGL,Persistencia,Bajo,Medio,1
Regimen prediccion 21,GOOGL,Persistencia,Bajo,Alto,52
Regimen prediccion 21,GOOGL,Persistencia,Medio,Bajo,20
Regimen prediccion 21,GOOGL,Persistencia,Medio,Medio,39
Regimen prediccion 21,GOOGL,Persistencia,Medio,Alto,68
Regimen prediccion 21,GOOGL,Persistencia,Alto,Bajo,33
Regimen prediccion 21,GOOGL,Persistencia,Alto,Medio,107
Regimen prediccion 21,GOOGL,Persistencia,Alto,Alto,419
Regimen prediccion 21,GOOGL,Regresion Logistica,Bajo,Bajo,0
Regimen prediccion 21,GOOGL,Regresion Logistica,Bajo,Medio,17
Regimen prediccion 21,GOOGL,Regresion Logistica,Bajo,Alto,39
Regimen prediccion 21,GOOGL,Regresion Logistica,Medio,Bajo,0
Regimen prediccion 21,GOOGL,Regresion Logistica,Medio,Medio,85
Regimen prediccion 21,GOOGL,Regresion Logistica,Medio,Alto,42
Regimen prediccion 21,GOOGL,Regresion Logistica,Alto,Bajo,0
Regimen prediccion 21,GOOGL,Regresion Logistica,Alto,Medio,158
Regimen prediccion 21,GOOGL,Regresion Logistica,Alto,Alto,401
Regimen prediccion 21,GOOGL,Arbol de Decision,Bajo,Bajo,12
Regimen prediccion 21,GOOGL,Arbol de Decision,Bajo,Medio,18
Regimen prediccion 21,GOOGL,Arbol de Decision,Bajo,Alto,26
Regimen prediccion 21,GOOGL,Arbol de Decision,Medio,Bajo,33
Regimen prediccion 21,GOOGL,Arbol de Decision,Medio,Medio,68
Regimen prediccion 21,GOOGL,Arbol de Decision,Medio,Alto,26
Regimen prediccion 21,GOOGL,Arbol de Decision,Alto,Bajo,59
Regimen prediccion 21,GOOGL,Arbol de Decision,Alto,Medio,155
Regimen prediccion 21,GOOGL,Arbol de Decision,Alto,Alto,345
Regimen prediccion 21,GOOGL,Random Forest,Bajo,Bajo,10
Regimen prediccion 21,GOOGL,Random Forest,Bajo,Medio,39
Regimen prediccion 21,GOOGL,Random Forest,Bajo,Alto,7
Regimen prediccion 21,GOOGL,Random Forest,Medio,Bajo,29
Regimen prediccion 21,GOOGL,Random Forest,Medio,Medio,85
Regimen prediccion 21,GOOGL,Random Forest,Medio,Alto,13
Regimen prediccion 21,GOOGL,Random Forest,Alto,Bajo,49
Regimen prediccion 21,GOOGL,Random Forest,Alto,Medio,257
Regimen prediccion 21,GOOGL,Random Forest,Alto,Alto,253
Regimen prediccion 21,GOOGL,XGBoost,Bajo,Bajo,13
Regimen prediccion 21,GOOGL,XGBoost,Bajo,Medio,39
Regimen prediccion 21,GOOGL,XGBoost,Bajo,Alto,4
Regimen prediccion 21,GOOGL,XGBoost,Medio,Bajo,35
Regimen prediccion 21,GOOGL,XGBoost,Medio,Medio,82
Regimen prediccion 21,GOOGL,XGBoost,Medio,Alto,10
Regimen prediccion 21,GOOGL,XGBoost,Alto,Bajo,62
Regimen prediccion 21,GOOGL,XGBoost,Alto,Medio,218
Regimen prediccion 21,GOOGL,XGBoost,Alto,Alto,279
Regimen prediccion 21,GOOGL,SVM,Bajo,Bajo,5
Regimen prediccion 21,GOOGL,SVM,Bajo,Medio,37
Regimen prediccion 21,GOOGL,SVM,Bajo,Alto,14
Regimen prediccion 21,GOOGL,SVM,Medio,Bajo,23
Regimen prediccion 21,GOOGL,SVM,Medio,Medio,77
Regimen prediccion 21,GOOGL,SVM,Medio,Alto,27
